timestamp,spot,strike,yes_bid,yes_ask,no_bid,no_ask,implied_prob,model_prob,edge_bps,hours_to_expiry,vol
2026-02-23 20:01:23.445000+00:00,64312.31488359545,69000.0,0.0,0.16,0.84,1.0,0.16,0.3203327987550136,1603.3279875501357,50.06015416666666,2.5
2026-02-23 21:03:24.441000+00:00,64473.326092497344,69000.0,0.0,0.16,0.84,1.0,0.16,0.3240791990929406,1640.7919909294058,49.02654416666667,2.5
2026-02-23 22:03:08.425000+00:00,64570.139420745654,69000.0,0.0,0.16,0.84,1.0,0.16,0.3259937084562085,1659.9370845620851,48.030993055555555,2.5
2026-02-23 23:02:37.277000+00:00,64719.44720467718,69000.0,0.0,0.16,0.84,1.0,0.16,0.32953677139042925,1695.3677139042925,47.03964527777778,2.5
2026-02-24 00:02:58.046000+00:00,64645.635433153606,69000.0,0.0,0.16,0.84,1.0,0.16,0.3262459210742634,1662.4592107426342,46.03387611111111,2.5
2026-02-24 01:00:15.226000+00:00,64941.5287413215,69000.0,0.0,0.16,0.84,1.0,0.16,0.33444074650163974,1744.4074650163973,45.07910388888889,2.5
2026-02-24 02:03:11.867000+00:00,64135.616801814576,69000.0,0.0,0.16,0.84,1.0,0.16,0.30815315727982173,1481.5315727982172,44.03003694444445,2.5
2026-02-24 03:02:51.785000+00:00,64066.17992962856,69000.0,0.0,0.16,0.84,1.0,0.16,0.30467348883304657,1446.7348883304658,43.03561527777778,2.5
2026-02-24 04:02:33.196000+00:00,63559.99285358071,69000.0,0.0,0.16,0.84,1.0,0.16,0.28747751130922883,1274.7751130922882,42.04077888888889,2.5
2026-02-24 05:03:32.574000+00:00,63327.54954418396,69000.0,0.0,0.16,0.84,1.0,0.16,0.2786121383551675,1186.121383551675,41.024285,2.5
2026-02-24 06:02:36.035000+00:00,63069.34251318558,69000.0,0.0,0.16,0.84,1.0,0.16,0.2688695221569773,1088.695221569773,40.039990277777775,2.5
2026-02-24 07:02:07.208000+00:00,63048.93669447095,69000.0,0.0,0.16,0.84,1.0,0.16,0.2663687511383669,1063.6875113836688,39.04799777777777,2.5
2026-02-24 08:02:23.672000+00:00,63149.620867737,69000.0,0.0,0.16,0.84,1.0,0.16,0.2675778697313348,1075.778697313348,38.04342444444445,2.5
2026-02-24 09:03:18.129000+00:00,63379.60392637089,69000.0,0.0,0.16,0.84,1.0,0.16,0.2729202624277498,1129.202624277498,37.0282975,2.5
2026-02-24 10:00:53.541000+00:00,63219.563714987955,69000.0,0.0,0.16,0.84,1.0,0.16,0.26578377149884824,1057.8377149884825,36.06846083333333,2.5
2026-02-24 11:03:15.131000+00:00,63276.255707804885,69000.0,0.0,0.16,0.84,1.0,0.16,0.2653908868138297,1053.908868138297,35.02913027777778,2.5
2026-02-24 12:03:34.966000+00:00,63207.59348187299,69000.0,0.0,0.16,0.84,1.0,0.16,0.2608672574364752,1008.672574364752,34.02362055555555,2.5
2026-02-24 13:02:14.798000+00:00,62972.76745130099,69000.0,0.0,0.16,0.84,1.0,0.16,0.2507754475531867,907.754475531867,33.04588944444445,2.5
2026-02-24 14:02:46.857000+00:00,62905.750100773046,69000.0,0.0,0.16,0.84,1.0,0.16,0.24597396879843053,859.7396879843053,32.03698416666666,2.5
2026-02-24 15:02:30.514000+00:00,63446.927824582344,69000.0,0.0,0.16,0.84,1.0,0.16,0.26167216589544406,1016.7216589544406,31.04152388888889,2.5
2026-02-24 16:01:59.734000+00:00,63963.04834579783,69000.0,0.0,0.16,0.84,1.0,0.16,0.2772954508430005,1172.954508430005,30.05007388888889,2.5
2026-02-24 17:03:41.260000+00:00,64253.8473670592,69000.0,0.0,0.16,0.84,1.0,0.16,0.28528951616824316,1252.8951616824315,29.021872222222225,2.5
2026-02-24 18:02:31.983000+00:00,64215.262528875006,69000.0,0.0,0.16,0.84,1.0,0.16,0.28136003606497034,1213.6003606497034,28.041115833333336,2.5
2026-02-24 19:02:10.148000+00:00,64426.94609155057,69000.0,0.0,0.16,0.84,1.0,0.16,0.2866828605320346,1266.8286053203462,27.04718111111111,2.5
2026-02-24 20:02:06.332000+00:00,64443.4962359175,69000.0,0.0,0.16,0.84,1.0,0.16,0.2845765371774792,1245.7653717747921,26.048241111111114,2.5
2026-02-24 21:03:29.711000+00:00,64455.44615715053,69000.0,0.0,0.02,0.98,1.0,0.02,0.2820705641677518,2620.7056416775176,25.02508027777778,2.5
2026-02-24 22:02:54.209000+00:00,64045.70828857544,69000.0,0.0,0.01,0.99,1.0,0.01,0.2628896033358594,2528.896033358594,24.034941944444444,2.5
2026-02-24 23:02:42.249000+00:00,64113.9657402143,69000.0,0.0,0.01,0.99,1.0,0.01,0.2620756717663426,2520.756717663426,23.038264166666668,2.5
